"key_ID","year","member_state_ID","member_state","member_state_code","case_type_ID","case_type","decision_stage_ID","decision_stage","count_decisions"
1,2002,1,"Belgium","BE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",34
2,2002,1,"Belgium","BE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",12
3,2002,1,"Belgium","BE",1,"noncommunication",3,"Referral to the Court (Art. 258)",2
4,2002,1,"Belgium","BE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
5,2002,1,"Belgium","BE",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
6,2002,1,"Belgium","BE",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
7,2002,1,"Belgium","BE",2,"nonconformity",1,"Letter of formal notice (Art. 258)",24
8,2002,1,"Belgium","BE",2,"nonconformity",2,"Reasoned opinion (Art. 258)",6
9,2002,1,"Belgium","BE",2,"nonconformity",3,"Referral to the Court (Art. 258)",2
10,2002,1,"Belgium","BE",2,"nonconformity",4,"Letter of formal notice (Art. 260)",2
11,2002,1,"Belgium","BE",2,"nonconformity",5,"Reasoned opinion (Art. 260)",1
12,2002,1,"Belgium","BE",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
13,2002,2,"France","FR",1,"noncommunication",1,"Letter of formal notice (Art. 258)",49
14,2002,2,"France","FR",1,"noncommunication",2,"Reasoned opinion (Art. 258)",18
15,2002,2,"France","FR",1,"noncommunication",3,"Referral to the Court (Art. 258)",2
16,2002,2,"France","FR",1,"noncommunication",4,"Letter of formal notice (Art. 260)",1
17,2002,2,"France","FR",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
18,2002,2,"France","FR",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
19,2002,2,"France","FR",2,"nonconformity",1,"Letter of formal notice (Art. 258)",32
20,2002,2,"France","FR",2,"nonconformity",2,"Reasoned opinion (Art. 258)",9
21,2002,2,"France","FR",2,"nonconformity",3,"Referral to the Court (Art. 258)",2
22,2002,2,"France","FR",2,"nonconformity",4,"Letter of formal notice (Art. 260)",4
23,2002,2,"France","FR",2,"nonconformity",5,"Reasoned opinion (Art. 260)",3
24,2002,2,"France","FR",2,"nonconformity",6,"Referral to the Court (Art. 260)",1
25,2002,3,"Germany","DE",1,"noncommunication",1,"Letter of formal notice (Art. 258)",52
26,2002,3,"Germany","DE",1,"noncommunication",2,"Reasoned opinion (Art. 258)",13
27,2002,3,"Germany","DE",1,"noncommunication",3,"Referral to the Court (Art. 258)",3
28,2002,3,"Germany","DE",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
