"key_ID","year","decision_stage_ID","decision_stage","count_cases"
1,2002,1,"Letter of formal notice (Art. 258)",1001
2,2002,2,"Reasoned opinion (Art. 258)",274
3,2002,3,"Referral to the Court (Art. 258)",72
4,2002,4,"Letter of formal notice (Art. 260)",40
5,2002,5,"Reasoned opinion (Art. 260)",9
6,2002,6,"Referral to the Court (Art. 260)",1
7,2003,1,"Letter of formal notice (Art. 258)",1550
8,2003,2,"Reasoned opinion (Art. 258)",486
9,2003,3,"Referral to the Court (Art. 258)",220
10,2003,4,"Letter of formal notice (Art. 260)",39
11,2003,5,"Reasoned opinion (Art. 260)",13
12,2003,6,"Referral to the Court (Art. 260)",3
13,2004,1,"Letter of formal notice (Art. 258)",1995
14,2004,2,"Reasoned opinion (Art. 258)",458
15,2004,3,"Referral to the Court (Art. 258)",262
16,2004,4,"Letter of formal notice (Art. 260)",42
17,2004,5,"Reasoned opinion (Art. 260)",14
18,2004,6,"Referral to the Court (Art. 260)",5
19,2005,1,"Letter of formal notice (Art. 258)",1672
20,2005,2,"Reasoned opinion (Art. 258)",736
21,2005,3,"Referral to the Court (Art. 258)",193
22,2005,4,"Letter of formal notice (Art. 260)",78
23,2005,5,"Reasoned opinion (Art. 260)",22
24,2005,6,"Referral to the Court (Art. 260)",3
25,2006,1,"Letter of formal notice (Art. 258)",1602
26,2006,2,"Reasoned opinion (Art. 258)",694
27,2006,3,"Referral to the Court (Art. 258)",249
28,2006,4,"Letter of formal notice (Art. 260)",57
29,2006,5,"Reasoned opinion (Art. 260)",22
30,2006,6,"Referral to the Court (Art. 260)",6
31,2007,1,"Letter of formal notice (Art. 258)",1795
32,2007,2,"Reasoned opinion (Art. 258)",414
33,2007,3,"Referral to the Court (Art. 258)",166
34,2007,4,"Letter of formal notice (Art. 260)",46
35,2007,5,"Reasoned opinion (Art. 260)",16
36,2007,6,"Referral to the Court (Art. 260)",4
37,2008,1,"Letter of formal notice (Art. 258)",1410
38,2008,2,"Reasoned opinion (Art. 258)",536
39,2008,3,"Referral to the Court (Art. 258)",228
40,2008,4,"Letter of formal notice (Art. 260)",44
41,2008,5,"Reasoned opinion (Art. 260)",14
42,2008,6,"Referral to the Court (Art. 260)",0
43,2009,1,"Letter of formal notice (Art. 258)",1151
44,2009,2,"Reasoned opinion (Art. 258)",428
45,2009,3,"Referral to the Court (Art. 258)",162
46,2009,4,"Letter of formal notice (Art. 260)",55
47,2009,5,"Reasoned opinion (Art. 260)",27
48,2009,6,"Referral to the Court (Art. 260)",4
49,2010,1,"Letter of formal notice (Art. 258)",1218
50,2010,2,"Reasoned opinion (Art. 258)",457
51,2010,3,"Referral to the Court (Art. 258)",158
52,2010,4,"Letter of formal notice (Art. 260)",55
53,2010,5,"Reasoned opinion (Art. 260)",0
54,2010,6,"Referral to the Court (Art. 260)",7
55,2011,1,"Letter of formal notice (Art. 258)",1493
56,2011,2,"Reasoned opinion (Art. 258)",448
57,2011,3,"Referral to the Court (Art. 258)",69
58,2011,4,"Letter of formal notice (Art. 260)",33
59,2011,5,"Reasoned opinion (Art. 260)",0
60,2011,6,"Referral to the Court (Art. 260)",6
61,2012,1,"Letter of formal notice (Art. 258)",732
62,2012,2,"Reasoned opinion (Art. 258)",339
63,2012,3,"Referral to the Court (Art. 258)",39
64,2012,4,"Letter of formal notice (Art. 260)",19
65,2012,5,"Reasoned opinion (Art. 260)",0
66,2012,6,"Referral to the Court (Art. 260)",4
67,2013,1,"Letter of formal notice (Art. 258)",805
68,2013,2,"Reasoned opinion (Art. 258)",228
69,2013,3,"Referral to the Court (Art. 258)",56
70,2013,4,"Letter of formal notice (Art. 260)",12
71,2013,5,"Reasoned opinion (Art. 260)",0
72,2013,6,"Referral to the Court (Art. 260)",6
73,2014,1,"Letter of formal notice (Art. 258)",936
74,2014,2,"Reasoned opinion (Art. 258)",255
75,2014,3,"Referral to the Court (Art. 258)",48
76,2014,4,"Letter of formal notice (Art. 260)",10
77,2014,5,"Reasoned opinion (Art. 260)",0
78,2014,6,"Referral to the Court (Art. 260)",2
79,2015,1,"Letter of formal notice (Art. 258)",782
80,2015,2,"Reasoned opinion (Art. 258)",249
81,2015,3,"Referral to the Court (Art. 258)",52
