"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","case_type_ID","case_type","decision_stage_ID","decision_stage","count_decisions"
1,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
2,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
3,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
4,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
5,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
6,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
7,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",1,"Letter of formal notice (Art. 258)",3
8,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",2,"Reasoned opinion (Art. 258)",1
9,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
10,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
11,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
12,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
13,2002,2,"Budget","BUDG",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
14,2002,2,"Budget","BUDG",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
15,2002,2,"Budget","BUDG",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
16,2002,2,"Budget","BUDG",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
17,2002,2,"Budget","BUDG",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
18,2002,2,"Budget","BUDG",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
19,2002,2,"Budget","BUDG",2,"nonconformity",1,"Letter of formal notice (Art. 258)",8
20,2002,2,"Budget","BUDG",2,"nonconformity",2,"Reasoned opinion (Art. 258)",2
21,2002,2,"Budget","BUDG",2,"nonconformity",3,"Referral to the Court (Art. 258)",0
22,2002,2,"Budget","BUDG",2,"nonconformity",4,"Letter of formal notice (Art. 260)",0
23,2002,2,"Budget","BUDG",2,"nonconformity",5,"Reasoned opinion (Art. 260)",0
24,2002,2,"Budget","BUDG",2,"nonconformity",6,"Referral to the Court (Art. 260)",0
25,2002,3,"Climate Action","CLIMA",1,"noncommunication",1,"Letter of formal notice (Art. 258)",0
26,2002,3,"Climate Action","CLIMA",1,"noncommunication",2,"Reasoned opinion (Art. 258)",0
27,2002,3,"Climate Action","CLIMA",1,"noncommunication",3,"Referral to the Court (Art. 258)",0
28,2002,3,"Climate Action","CLIMA",1,"noncommunication",4,"Letter of formal notice (Art. 260)",0
29,2002,3,"Climate Action","CLIMA",1,"noncommunication",5,"Reasoned opinion (Art. 260)",0
30,2002,3,"Climate Action","CLIMA",1,"noncommunication",6,"Referral to the Court (Art. 260)",0
