"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","count_cases"
11,2002,1,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",1
16,2002,2,"Budget","BUDG",1,"Belgium","BE",1
21,2002,2,"Budget","BUDG",6,"Netherlands","NL",2
22,2002,2,"Budget","BUDG",7,"Denmark","DK",1
26,2002,2,"Budget","BUDG",11,"Portugal","PT",1
27,2002,2,"Budget","BUDG",12,"Spain","ES",1
28,2002,2,"Budget","BUDG",13,"Austria","AT",1
46,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"Belgium","BE",1
47,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"France","FR",2
48,2002,4,"Communication Networks, Content and Technology","CONNECT",3,"Germany","DE",4
49,2002,4,"Communication Networks, Content and Technology","CONNECT",4,"Italy","IT",3
50,2002,4,"Communication Networks, Content and Technology","CONNECT",5,"Luxembourg","LU",2
51,2002,4,"Communication Networks, Content and Technology","CONNECT",6,"Netherlands","NL",1
53,2002,4,"Communication Networks, Content and Technology","CONNECT",8,"Ireland","IE",1
55,2002,4,"Communication Networks, Content and Technology","CONNECT",10,"Greece","EL",2
56,2002,4,"Communication Networks, Content and Technology","CONNECT",11,"Portugal","PT",2
57,2002,4,"Communication Networks, Content and Technology","CONNECT",12,"Spain","ES",1
58,2002,4,"Communication Networks, Content and Technology","CONNECT",13,"Austria","AT",1
106,2002,8,"Education, Youth, Sport and Culture","EAC",1,"Belgium","BE",1
117,2002,8,"Education, Youth, Sport and Culture","EAC",12,"Spain","ES",1
121,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"Belgium","BE",4
122,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"France","FR",5
123,2002,9,"Employment, Social Affairs and Inclusion","EMPL",3,"Germany","DE",6
124,2002,9,"Employment, Social Affairs and Inclusion","EMPL",4,"Italy","IT",5
125,2002,9,"Employment, Social Affairs and Inclusion","EMPL",5,"Luxembourg","LU",3
126,2002,9,"Employment, Social Affairs and Inclusion","EMPL",6,"Netherlands","NL",1
127,2002,9,"Employment, Social Affairs and Inclusion","EMPL",7,"Denmark","DK",3
128,2002,9,"Employment, Social Affairs and Inclusion","EMPL",8,"Ireland","IE",3
129,2002,9,"Employment, Social Affairs and Inclusion","EMPL",9,"United Kingdom","UK",4
130,2002,9,"Employment, Social Affairs and Inclusion","EMPL",10,"Greece","EL",5
131,2002,9,"Employment, Social Affairs and Inclusion","EMPL",11,"Portugal","PT",2
132,2002,9,"Employment, Social Affairs and Inclusion","EMPL",12,"Spain","ES",1
133,2002,9,"Employment, Social Affairs and Inclusion","EMPL",13,"Austria","AT",3
134,2002,9,"Employment, Social Affairs and Inclusion","EMPL",14,"Finland","FI",1
135,2002,9,"Employment, Social Affairs and Inclusion","EMPL",15,"Sweden","SE",4
136,2002,10,"Energy","ENER",1,"Belgium","BE",2
138,2002,10,"Energy","ENER",3,"Germany","DE",1
139,2002,10,"Energy","ENER",4,"Italy","IT",2
144,2002,10,"Energy","ENER",9,"United Kingdom","UK",2
145,2002,10,"Energy","ENER",10,"Greece","EL",1
147,2002,10,"Energy","ENER",12,"Spain","ES",1
148,2002,10,"Energy","ENER",13,"Austria","AT",1
149,2002,10,"Energy","ENER",14,"Finland","FI",1
150,2002,10,"Energy","ENER",15,"Sweden","SE",1
151,2002,11,"Enterprise and Industry","ENTR",1,"Belgium","BE",10
152,2002,11,"Enterprise and Industry","ENTR",2,"France","FR",19
153,2002,11,"Enterprise and Industry","ENTR",3,"Germany","DE",19
154,2002,11,"Enterprise and Industry","ENTR",4,"Italy","IT",16
155,2002,11,"Enterprise and Industry","ENTR",5,"Luxembourg","LU",10
156,2002,11,"Enterprise and Industry","ENTR",6,"Netherlands","NL",16
157,2002,11,"Enterprise and Industry","ENTR",7,"Denmark","DK",9
158,2002,11,"Enterprise and Industry","ENTR",8,"Ireland","IE",10
159,2002,11,"Enterprise and Industry","ENTR",9,"United Kingdom","UK",11
160,2002,11,"Enterprise and Industry","ENTR",10,"Greece","EL",15
161,2002,11,"Enterprise and Industry","ENTR",11,"Portugal","PT",19
162,2002,11,"Enterprise and Industry","ENTR",12,"Spain","ES",13
163,2002,11,"Enterprise and Industry","ENTR",13,"Austria","AT",13
164,2002,11,"Enterprise and Industry","ENTR",14,"Finland","FI",9
165,2002,11,"Enterprise and Industry","ENTR",15,"Sweden","SE",15
166,2002,12,"Environment","ENV",1,"Belgium","BE",7
167,2002,12,"Environment","ENV",2,"France","FR",13
168,2002,12,"Environment","ENV",3,"Germany","DE",12
169,2002,12,"Environment","ENV",4,"Italy","IT",25
170,2002,12,"Environment","ENV",5,"Luxembourg","LU",7
171,2002,12,"Environment","ENV",6,"Netherlands","NL",8
172,2002,12,"Environment","ENV",7,"Denmark","DK",6
173,2002,12,"Environment","ENV",8,"Ireland","IE",23
174,2002,12,"Environment","ENV",9,"United Kingdom","UK",13
175,2002,12,"Environment","ENV",10,"Greece","EL",12
176,2002,12,"Environment","ENV",11,"Portugal","PT",13
177,2002,12,"Environment","ENV",12,"Spain","ES",27
178,2002,12,"Environment","ENV",13,"Austria","AT",9
179,2002,12,"Environment","ENV",14,"Finland","FI",7
180,2002,12,"Environment","ENV",15,"Sweden","SE",8
196,2002,14,"Eurostat","EUROSTAT",1,"Belgium","BE",1
197,2002,14,"Eurostat","EUROSTAT",2,"France","FR",1
200,2002,14,"Eurostat","EUROSTAT",5,"Luxembourg","LU",1
203,2002,14,"Eurostat","EUROSTAT",8,"Ireland","IE",1
205,2002,14,"Eurostat","EUROSTAT",10,"Greece","EL",1
207,2002,14,"Eurostat","EUROSTAT",12,"Spain","ES",1
210,2002,14,"Eurostat","EUROSTAT",15,"Sweden","SE",1
241,2002,17,"Health and Consumers","SANCO",1,"Belgium","BE",6
242,2002,17,"Health and Consumers","SANCO",2,"France","FR",17
243,2002,17,"Health and Consumers","SANCO",3,"Germany","DE",21
244,2002,17,"Health and Consumers","SANCO",4,"Italy","IT",17
245,2002,17,"Health and Consumers","SANCO",5,"Luxembourg","LU",12
246,2002,17,"Health and Consumers","SANCO",6,"Netherlands","NL",6
247,2002,17,"Health and Consumers","SANCO",7,"Denmark","DK",8
248,2002,17,"Health and Consumers","SANCO",8,"Ireland","IE",18
249,2002,17,"Health and Consumers","SANCO",9,"United Kingdom","UK",12
250,2002,17,"Health and Consumers","SANCO",10,"Greece","EL",18
251,2002,17,"Health and Consumers","SANCO",11,"Portugal","PT",22
252,2002,17,"Health and Consumers","SANCO",12,"Spain","ES",9
253,2002,17,"Health and Consumers","SANCO",13,"Austria","AT",20
254,2002,17,"Health and Consumers","SANCO",14,"Finland","FI",18
255,2002,17,"Health and Consumers","SANCO",15,"Sweden","SE",11
286,2002,20,"Internal Market and Services","MARKT",1,"Belgium","BE",13
287,2002,20,"Internal Market and Services","MARKT",2,"France","FR",14
288,2002,20,"Internal Market and Services","MARKT",3,"Germany","DE",21
289,2002,20,"Internal Market and Services","MARKT",4,"Italy","IT",20
290,2002,20,"Internal Market and Services","MARKT",5,"Luxembourg","LU",5
291,2002,20,"Internal Market and Services","MARKT",6,"Netherlands","NL",13
292,2002,20,"Internal Market and Services","MARKT",7,"Denmark","DK",4
293,2002,20,"Internal Market and Services","MARKT",8,"Ireland","IE",7
294,2002,20,"Internal Market and Services","MARKT",9,"United Kingdom","UK",9
295,2002,20,"Internal Market and Services","MARKT",10,"Greece","EL",12
296,2002,20,"Internal Market and Services","MARKT",11,"Portugal","PT",9
297,2002,20,"Internal Market and Services","MARKT",12,"Spain","ES",12
298,2002,20,"Internal Market and Services","MARKT",13,"Austria","AT",4
299,2002,20,"Internal Market and Services","MARKT",14,"Finland","FI",4
300,2002,20,"Internal Market and Services","MARKT",15,"Sweden","SE",2
306,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",6,"Netherlands","NL",1
317,2002,22,"Justice and Consumers","JUST",2,"France","FR",1
338,2002,23,"Legal Service","SJ",8,"Ireland","IE",2
346,2002,24,"Maritime Affairs and Fisheries","MARE",1,"Belgium","BE",1
348,2002,24,"Maritime Affairs and Fisheries","MARE",3,"Germany","DE",1
351,2002,24,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",1
352,2002,24,"Maritime Affairs and Fisheries","MARE",7,"Denmark","DK",2
353,2002,24,"Maritime Affairs and Fisheries","MARE",8,"Ireland","IE",2
354,2002,24,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",3
356,2002,24,"Maritime Affairs and Fisheries","MARE",11,"Portugal","PT",1
357,2002,24,"Maritime Affairs and Fisheries","MARE",12,"Spain","ES",2
360,2002,24,"Maritime Affairs and Fisheries","MARE",15,"Sweden","SE",2
373,2002,25,"Migration and Home Affairs","HOME",13,"Austria","AT",1
376,2002,26,"Mobility and Transport","MOVE",1,"Belgium","BE",4
377,2002,26,"Mobility and Transport","MOVE",2,"France","FR",6
378,2002,26,"Mobility and Transport","MOVE",3,"Germany","DE",5
379,2002,26,"Mobility and Transport","MOVE",4,"Italy","IT",5
380,2002,26,"Mobility and Transport","MOVE",5,"Luxembourg","LU",6
381,2002,26,"Mobility and Transport","MOVE",6,"Netherlands","NL",2
382,2002,26,"Mobility and Transport","MOVE",7,"Denmark","DK",2
383,2002,26,"Mobility and Transport","MOVE",8,"Ireland","IE",5
384,2002,26,"Mobility and Transport","MOVE",9,"United Kingdom","UK",5
385,2002,26,"Mobility and Transport","MOVE",10,"Greece","EL",4
386,2002,26,"Mobility and Transport","MOVE",11,"Portugal","PT",5
387,2002,26,"Mobility and Transport","MOVE",12,"Spain","ES",3
388,2002,26,"Mobility and Transport","MOVE",13,"Austria","AT",4
389,2002,26,"Mobility and Transport","MOVE",14,"Finland","FI",2
390,2002,26,"Mobility and Transport","MOVE",15,"Sweden","SE",3
421,2002,29,"Taxation and Customs Union","TAXUD",1,"Belgium","BE",4
422,2002,29,"Taxation and Customs Union","TAXUD",2,"France","FR",5
423,2002,29,"Taxation and Customs Union","TAXUD",3,"Germany","DE",5
424,2002,29,"Taxation and Customs Union","TAXUD",4,"Italy","IT",9
425,2002,29,"Taxation and Customs Union","TAXUD",5,"Luxembourg","LU",4
426,2002,29,"Taxation and Customs Union","TAXUD",6,"Netherlands","NL",4
427,2002,29,"Taxation and Customs Union","TAXUD",7,"Denmark","DK",4
428,2002,29,"Taxation and Customs Union","TAXUD",8,"Ireland","IE",2
429,2002,29,"Taxation and Customs Union","TAXUD",9,"United Kingdom","UK",3
430,2002,29,"Taxation and Customs Union","TAXUD",10,"Greece","EL",3
431,2002,29,"Taxation and Customs Union","TAXUD",11,"Portugal","PT",6
432,2002,29,"Taxation and Customs Union","TAXUD",12,"Spain","ES",5
433,2002,29,"Taxation and Customs Union","TAXUD",13,"Austria","AT",3
434,2002,29,"Taxation and Customs Union","TAXUD",14,"Finland","FI",2
435,2002,29,"Taxation and Customs Union","TAXUD",15,"Sweden","SE",2
451,2003,1,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",6
452,2003,1,"Agriculture and Rural Development","AGRI",2,"France","FR",5
453,2003,1,"Agriculture and Rural Development","AGRI",3,"Germany","DE",6
454,2003,1,"Agriculture and Rural Development","AGRI",4,"Italy","IT",7
455,2003,1,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",1
457,2003,1,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",3
459,2003,1,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",6
460,2003,1,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1
461,2003,1,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",7
463,2003,1,"Agriculture and Rural Development","AGRI",13,"Austria","AT",6
466,2003,2,"Budget","BUDG",1,"Belgium","BE",1
468,2003,2,"Budget","BUDG",3,"Germany","DE",1
469,2003,2,"Budget","BUDG",4,"Italy","IT",3
470,2003,2,"Budget","BUDG",5,"Luxembourg","LU",1
472,2003,2,"Budget","BUDG",7,"Denmark","DK",1
475,2003,2,"Budget","BUDG",10,"Greece","EL",1
476,2003,2,"Budget","BUDG",11,"Portugal","PT",3
477,2003,2,"Budget","BUDG",12,"Spain","ES",1
479,2003,2,"Budget","BUDG",14,"Finland","FI",1
480,2003,2,"Budget","BUDG",15,"Sweden","SE",2
496,2003,4,"Communication Networks, Content and Technology","CONNECT",1,"Belgium","BE",6
497,2003,4,"Communication Networks, Content and Technology","CONNECT",2,"France","FR",5
498,2003,4,"Communication Networks, Content and Technology","CONNECT",3,"Germany","DE",5
500,2003,4,"Communication Networks, Content and Technology","CONNECT",5,"Luxembourg","LU",6
501,2003,4,"Communication Networks, Content and Technology","CONNECT",6,"Netherlands","NL",5
505,2003,4,"Communication Networks, Content and Technology","CONNECT",10,"Greece","EL",5
506,2003,4,"Communication Networks, Content and Technology","CONNECT",11,"Portugal","PT",5
507,2003,4,"Communication Networks, Content and Technology","CONNECT",12,"Spain","ES",4
509,2003,4,"Communication Networks, Content and Technology","CONNECT",14,"Finland","FI",1
510,2003,4,"Communication Networks, Content and Technology","CONNECT",15,"Sweden","SE",1
511,2003,5,"Competition","COMP",1,"Belgium","BE",1
512,2003,5,"Competition","COMP",2,"France","FR",1
513,2003,5,"Competition","COMP",3,"Germany","DE",2
515,2003,5,"Competition","COMP",5,"Luxembourg","LU",1
516,2003,5,"Competition","COMP",6,"Netherlands","NL",1
520,2003,5,"Competition","COMP",10,"Greece","EL",2
521,2003,5,"Competition","COMP",11,"Portugal","PT",2
522,2003,5,"Competition","COMP",12,"Spain","ES",2
525,2003,5,"Competition","COMP",15,"Sweden","SE",1
565,2003,8,"Education, Youth, Sport and Culture","EAC",10,"Greece","EL",2
566,2003,8,"Education, Youth, Sport and Culture","EAC",11,"Portugal","PT",1
571,2003,9,"Employment, Social Affairs and Inclusion","EMPL",1,"Belgium","BE",3
572,2003,9,"Employment, Social Affairs and Inclusion","EMPL",2,"France","FR",4
573,2003,9,"Employment, Social Affairs and Inclusion","EMPL",3,"Germany","DE",3
574,2003,9,"Employment, Social Affairs and Inclusion","EMPL",4,"Italy","IT",5
575,2003,9,"Employment, Social Affairs and Inclusion","EMPL",5,"Luxembourg","LU",3
576,2003,9,"Employment, Social Affairs and Inclusion","EMPL",6,"Netherlands","NL",5
577,2003,9,"Employment, Social Affairs and Inclusion","EMPL",7,"Denmark","DK",5
578,2003,9,"Employment, Social Affairs and Inclusion","EMPL",8,"Ireland","IE",3
579,2003,9,"Employment, Social Affairs and Inclusion","EMPL",9,"United Kingdom","UK",4
580,2003,9,"Employment, Social Affairs and Inclusion","EMPL",10,"Greece","EL",4
581,2003,9,"Employment, Social Affairs and Inclusion","EMPL",11,"Portugal","PT",6
582,2003,9,"Employment, Social Affairs and Inclusion","EMPL",12,"Spain","ES",3
583,2003,9,"Employment, Social Affairs and Inclusion","EMPL",13,"Austria","AT",3
584,2003,9,"Employment, Social Affairs and Inclusion","EMPL",14,"Finland","FI",3
585,2003,9,"Employment, Social Affairs and Inclusion","EMPL",15,"Sweden","SE",4
586,2003,10,"Energy","ENER",1,"Belgium","BE",2
587,2003,10,"Energy","ENER",2,"France","FR",1
588,2003,10,"Energy","ENER",3,"Germany","DE",1
589,2003,10,"Energy","ENER",4,"Italy","IT",4
590,2003,10,"Energy","ENER",5,"Luxembourg","LU",3
591,2003,10,"Energy","ENER",6,"Netherlands","NL",1
592,2003,10,"Energy","ENER",7,"Denmark","DK",1
593,2003,10,"Energy","ENER",8,"Ireland","IE",2
594,2003,10,"Energy","ENER",9,"United Kingdom","UK",4
595,2003,10,"Energy","ENER",10,"Greece","EL",3
596,2003,10,"Energy","ENER",11,"Portugal","PT",5
597,2003,10,"Energy","ENER",12,"Spain","ES",1
598,2003,10,"Energy","ENER",13,"Austria","AT",2
599,2003,10,"Energy","ENER",14,"Finland","FI",3
600,2003,10,"Energy","ENER",15,"Sweden","SE",2
601,2003,11,"Enterprise and Industry","ENTR",1,"Belgium","BE",15
602,2003,11,"Enterprise and Industry","ENTR",2,"France","FR",12
603,2003,11,"Enterprise and Industry","ENTR",3,"Germany","DE",15
604,2003,11,"Enterprise and Industry","ENTR",4,"Italy","IT",19
605,2003,11,"Enterprise and Industry","ENTR",5,"Luxembourg","LU",8
606,2003,11,"Enterprise and Industry","ENTR",6,"Netherlands","NL",14
607,2003,11,"Enterprise and Industry","ENTR",7,"Denmark","DK",11
608,2003,11,"Enterprise and Industry","ENTR",8,"Ireland","IE",11
609,2003,11,"Enterprise and Industry","ENTR",9,"United Kingdom","UK",11
610,2003,11,"Enterprise and Industry","ENTR",10,"Greece","EL",18
611,2003,11,"Enterprise and Industry","ENTR",11,"Portugal","PT",18
612,2003,11,"Enterprise and Industry","ENTR",12,"Spain","ES",9
613,2003,11,"Enterprise and Industry","ENTR",13,"Austria","AT",20
614,2003,11,"Enterprise and Industry","ENTR",14,"Finland","FI",12
615,2003,11,"Enterprise and Industry","ENTR",15,"Sweden","SE",15
