"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","case_type_ID","case_type","count_cases"
22,2002,1,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",2,"nonconformity",1
32,2002,2,"Budget","BUDG",1,"Belgium","BE",2,"nonconformity",1
42,2002,2,"Budget","BUDG",6,"Netherlands","NL",2,"nonconformity",2
44,2002,2,"Budget","BUDG",7,"Denmark","DK",2,"nonconformity",1
52,2002,2,"Budget","BUDG",11,"Portugal","PT",2,"nonconformity",1
54,2002,2,"Budget","BUDG",12,"Spain","ES",2,"nonconformity",1
56,2002,2,"Budget","BUDG",13,"Austria","AT",2,"nonconformity",1
92,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"Belgium","BE",2,"nonconformity",1
94,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"France","FR",2,"nonconformity",2
96,2002,4,"Communication Networks, Content and Technology","CONNECT",3,"Germany","DE",2,"nonconformity",4
98,2002,4,"Communication Networks, Content and Technology","CONNECT",4,"Italy","IT",2,"nonconformity",3
100,2002,4,"Communication Networks, Content and Technology","CONNECT",5,"Luxembourg","LU",2,"nonconformity",2
102,2002,4,"Communication Networks, Content and Technology","CONNECT",6,"Netherlands","NL",2,"nonconformity",1
106,2002,4,"Communication Networks, Content and Technology","CONNECT",8,"Ireland","IE",2,"nonconformity",1
110,2002,4,"Communication Networks, Content and Technology","CONNECT",10,"Greece","EL",2,"nonconformity",2
112,2002,4,"Communication Networks, Content and Technology","CONNECT",11,"Portugal","PT",2,"nonconformity",2
114,2002,4,"Communication Networks, Content and Technology","CONNECT",12,"Spain","ES",2,"nonconformity",1
116,2002,4,"Communication Networks, Content and Technology","CONNECT",13,"Austria","AT",2,"nonconformity",1
212,2002,8,"Education, Youth, Sport and Culture","EAC",1,"Belgium","BE",2,"nonconformity",1
234,2002,8,"Education, Youth, Sport and Culture","EAC",12,"Spain","ES",2,"nonconformity",1
241,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"Belgium","BE",1,"noncommunication",3
242,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"Belgium","BE",2,"nonconformity",1
243,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"France","FR",1,"noncommunication",2
244,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"France","FR",2,"nonconformity",3
245,2002,9,"Employment, Social Affairs and Inclusion","EMPL",3,"Germany","DE",1,"noncommunication",2
246,2002,9,"Employment, Social Affairs and Inclusion","EMPL",3,"Germany","DE",2,"nonconformity",4
247,2002,9,"Employment, Social Affairs and Inclusion","EMPL",4,"Italy","IT",1,"noncommunication",2
248,2002,9,"Employment, Social Affairs and Inclusion","EMPL",4,"Italy","IT",2,"nonconformity",3
249,2002,9,"Employment, Social Affairs and Inclusion","EMPL",5,"Luxembourg","LU",1,"noncommunication",2
250,2002,9,"Employment, Social Affairs and Inclusion","EMPL",5,"Luxembourg","LU",2,"nonconformity",1
251,2002,9,"Employment, Social Affairs and Inclusion","EMPL",6,"Netherlands","NL",1,"noncommunication",1
253,2002,9,"Employment, Social Affairs and Inclusion","EMPL",7,"Denmark","DK",1,"noncommunication",2
254,2002,9,"Employment, Social Affairs and Inclusion","EMPL",7,"Denmark","DK",2,"nonconformity",1
255,2002,9,"Employment, Social Affairs and Inclusion","EMPL",8,"Ireland","IE",1,"noncommunication",3
257,2002,9,"Employment, Social Affairs and Inclusion","EMPL",9,"United Kingdom","UK",1,"noncommunication",2
258,2002,9,"Employment, Social Affairs and Inclusion","EMPL",9,"United Kingdom","UK",2,"nonconformity",2
259,2002,9,"Employment, Social Affairs and Inclusion","EMPL",10,"Greece","EL",1,"noncommunication",2
260,2002,9,"Employment, Social Affairs and Inclusion","EMPL",10,"Greece","EL",2,"nonconformity",3
261,2002,9,"Employment, Social Affairs and Inclusion","EMPL",11,"Portugal","PT",1,"noncommunication",1
262,2002,9,"Employment, Social Affairs and Inclusion","EMPL",11,"Portugal","PT",2,"nonconformity",1
264,2002,9,"Employment, Social Affairs and Inclusion","EMPL",12,"Spain","ES",2,"nonconformity",1
265,2002,9,"Employment, Social Affairs and Inclusion","EMPL",13,"Austria","AT",1,"noncommunication",2
266,2002,9,"Employment, Social Affairs and Inclusion","EMPL",13,"Austria","AT",2,"nonconformity",1
