"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","count_cases"
1,2002,1,"Agriculture and Rural Development","AGRI",1
2,2002,2,"Budget","BUDG",7
3,2002,3,"Climate Action","CLIMA",0
4,2002,4,"Communication Networks, Content and Technology","CONNECT",20
5,2002,5,"Competition","COMP",0
6,2002,6,"Defence Industry and Space","DEFIS",0
7,2002,7,"Economic and Financial Affairs","ECFIN",0
8,2002,8,"Education, Youth, Sport and Culture","EAC",2
9,2002,9,"Employment, Social Affairs and Inclusion","EMPL",50
10,2002,10,"Energy","ENER",12
11,2002,11,"Enterprise and Industry","ENTR",204
12,2002,12,"Environment","ENV",190
13,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",0
14,2002,14,"Eurostat","EUROSTAT",7
15,2002,15,"External Relations","RELEX",0
16,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",0
17,2002,17,"Health and Consumers","SANCO",215
18,2002,18,"Health and Food Safety","SANTE",0
19,2002,19,"Human Resources and Security","HR",0
20,2002,20,"Internal Market and Services","MARKT",149
21,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1
22,2002,22,"Justice and Consumers","JUST",1
23,2002,23,"Legal Service","SJ",2
24,2002,24,"Maritime Affairs and Fisheries","MARE",15
25,2002,25,"Migration and Home Affairs","HOME",1
26,2002,26,"Mobility and Transport","MOVE",61
27,2002,27,"Regional and Urban Policy","REGIO",0
28,2002,28,"Secretariat-General","SG",0
29,2002,29,"Taxation and Customs Union","TAXUD",61
30,2002,30,"Trade","TRADE",0
31,2003,1,"Agriculture and Rural Development","AGRI",48
32,2003,2,"Budget","BUDG",15
33,2003,3,"Climate Action","CLIMA",0
34,2003,4,"Communication Networks, Content and Technology","CONNECT",43
35,2003,5,"Competition","COMP",13
36,2003,6,"Defence Industry and Space","DEFIS",0
37,2003,7,"Economic and Financial Affairs","ECFIN",0
38,2003,8,"Education, Youth, Sport and Culture","EAC",3
39,2003,9,"Employment, Social Affairs and Inclusion","EMPL",58
40,2003,10,"Energy","ENER",35
41,2003,11,"Enterprise and Industry","ENTR",208
42,2003,12,"Environment","ENV",176
43,2003,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1
44,2003,14,"Eurostat","EUROSTAT",0
45,2003,15,"External Relations","RELEX",1
46,2003,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",0
47,2003,17,"Health and Consumers","SANCO",444
48,2003,18,"Health and Food Safety","SANTE",1
49,2003,19,"Human Resources and Security","HR",1
50,2003,20,"Internal Market and Services","MARKT",204
51,2003,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",0
52,2003,22,"Justice and Consumers","JUST",10
53,2003,23,"Legal Service","SJ",1
54,2003,24,"Maritime Affairs and Fisheries","MARE",3
55,2003,25,"Migration and Home Affairs","HOME",11
56,2003,26,"Mobility and Transport","MOVE",152
57,2003,27,"Regional and Urban Policy","REGIO",0
58,2003,28,"Secretariat-General","SG",0
59,2003,29,"Taxation and Customs Union","TAXUD",51
60,2003,30,"Trade","TRADE",0
61,2004,1,"Agriculture and Rural Development","AGRI",8
62,2004,2,"Budget","BUDG",1
63,2004,3,"Climate Action","CLIMA",0
64,2004,4,"Communication Networks, Content and Technology","CONNECT",25
65,2004,5,"Competition","COMP",22
66,2004,6,"Defence Industry and Space","DEFIS",0
67,2004,7,"Economic and Financial Affairs","ECFIN",0
68,2004,8,"Education, Youth, Sport and Culture","EAC",2
69,2004,9,"Employment, Social Affairs and Inclusion","EMPL",104
70,2004,10,"Energy","ENER",64
71,2004,11,"Enterprise and Industry","ENTR",276
72,2004,12,"Environment","ENV",225
73,2004,13,"European Neighbourhood and Enlargement Negotiations","NEAR",0
74,2004,14,"Eurostat","EUROSTAT",20
75,2004,15,"External Relations","RELEX",5
76,2004,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",3
77,2004,17,"Health and Consumers","SANCO",469
78,2004,18,"Health and Food Safety","SANTE",1
79,2004,19,"Human Resources and Security","HR",1
80,2004,20,"Internal Market and Services","MARKT",375
81,2004,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2
82,2004,22,"Justice and Consumers","JUST",18
83,2004,23,"Legal Service","SJ",0
84,2004,24,"Maritime Affairs and Fisheries","MARE",15
85,2004,25,"Migration and Home Affairs","HOME",6
86,2004,26,"Mobility and Transport","MOVE",150
87,2004,27,"Regional and Urban Policy","REGIO",0
88,2004,28,"Secretariat-General","SG",0
89,2004,29,"Taxation and Customs Union","TAXUD",135
90,2004,30,"Trade","TRADE",6
91,2005,1,"Agriculture and Rural Development","AGRI",1
92,2005,2,"Budget","BUDG",7
93,2005,3,"Climate Action","CLIMA",0
94,2005,4,"Communication Networks, Content and Technology","CONNECT",70
95,2005,5,"Competition","COMP",5
96,2005,6,"Defence Industry and Space","DEFIS",0
