"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","case_type_ID","case_type","count_cases"
1,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",0
2,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",1
3,2002,2,"Budget","BUDG",1,"noncommunication",0
4,2002,2,"Budget","BUDG",2,"nonconformity",7
5,2002,3,"Climate Action","CLIMA",1,"noncommunication",0
6,2002,3,"Climate Action","CLIMA",2,"nonconformity",0
7,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",0
8,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",20
9,2002,5,"Competition","COMP",1,"noncommunication",0
10,2002,5,"Competition","COMP",2,"nonconformity",0
11,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
12,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
13,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
14,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
15,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
16,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",2
17,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",28
18,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",22
19,2002,10,"Energy","ENER",1,"noncommunication",6
20,2002,10,"Energy","ENER",2,"nonconformity",6
21,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",172
22,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",32
23,2002,12,"Environment","ENV",1,"noncommunication",64
24,2002,12,"Environment","ENV",2,"nonconformity",126
25,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
26,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",0
27,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",6
28,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",1
29,2002,15,"External Relations","RELEX",1,"noncommunication",0
30,2002,15,"External Relations","RELEX",2,"nonconformity",0
31,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",0
32,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",0
33,2002,17,"Health and Consumers","SANCO",1,"noncommunication",207
34,2002,17,"Health and Consumers","SANCO",2,"nonconformity",8
35,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",0
36,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",0
37,2002,19,"Human Resources and Security","HR",1,"noncommunication",0
38,2002,19,"Human Resources and Security","HR",2,"nonconformity",0
39,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",50
40,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",99
41,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",0
42,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",1
43,2002,22,"Justice and Consumers","JUST",1,"noncommunication",0
44,2002,22,"Justice and Consumers","JUST",2,"nonconformity",1
45,2002,23,"Legal Service","SJ",1,"noncommunication",0
46,2002,23,"Legal Service","SJ",2,"nonconformity",2
47,2002,24,"Maritime Affairs and Fisheries","MARE",1,"noncommunication",0
48,2002,24,"Maritime Affairs and Fisheries","MARE",2,"nonconformity",15
49,2002,25,"Migration and Home Affairs","HOME",1,"noncommunication",0
50,2002,25,"Migration and Home Affairs","HOME",2,"nonconformity",1
51,2002,26,"Mobility and Transport","MOVE",1,"noncommunication",53
52,2002,26,"Mobility and Transport","MOVE",2,"nonconformity",8
53,2002,27,"Regional and Urban Policy","REGIO",1,"noncommunication",0
54,2002,27,"Regional and Urban Policy","REGIO",2,"nonconformity",0
55,2002,28,"Secretariat-General","SG",1,"noncommunication",0
56,2002,28,"Secretariat-General","SG",2,"nonconformity",0
57,2002,29,"Taxation and Customs Union","TAXUD",1,"noncommunication",27
58,2002,29,"Taxation and Customs Union","TAXUD",2,"nonconformity",34
59,2002,30,"Trade","TRADE",1,"noncommunication",0
60,2002,30,"Trade","TRADE",2,"nonconformity",0
61,2003,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",40
62,2003,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",8
63,2003,2,"Budget","BUDG",1,"noncommunication",0
64,2003,2,"Budget","BUDG",2,"nonconformity",15
65,2003,3,"Climate Action","CLIMA",1,"noncommunication",0
66,2003,3,"Climate Action","CLIMA",2,"nonconformity",0
67,2003,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",41
68,2003,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",2
69,2003,5,"Competition","COMP",1,"noncommunication",9
70,2003,5,"Competition","COMP",2,"nonconformity",4
71,2003,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
72,2003,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
73,2003,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
74,2003,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
75,2003,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
76,2003,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",3
77,2003,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",43
78,2003,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",15
79,2003,10,"Energy","ENER",1,"noncommunication",29
80,2003,10,"Energy","ENER",2,"nonconformity",6
81,2003,11,"Enterprise and Industry","ENTR",1,"noncommunication",176
82,2003,11,"Enterprise and Industry","ENTR",2,"nonconformity",32
83,2003,12,"Environment","ENV",1,"noncommunication",73
84,2003,12,"Environment","ENV",2,"nonconformity",103
85,2003,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
86,2003,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",1
