"key_ID","year","member_state_ID","member_state","member_state_code","count_cases"
1,2002,1,"Belgium","BE",55
2,2002,2,"France","FR",83
3,2002,3,"Germany","DE",95
4,2002,4,"Italy","IT",102
5,2002,5,"Luxembourg","LU",50
6,2002,6,"Netherlands","NL",55
7,2002,7,"Denmark","DK",39
8,2002,8,"Ireland","IE",74
9,2002,9,"United Kingdom","UK",62
10,2002,10,"Greece","EL",73
11,2002,11,"Portugal","PT",81
12,2002,12,"Spain","ES",77
13,2002,13,"Austria","AT",60
14,2002,14,"Finland","FI",44
15,2002,15,"Sweden","SE",49
16,2003,1,"Belgium","BE",97
17,2003,2,"France","FR",98
18,2003,3,"Germany","DE",115
19,2003,4,"Italy","IT",156
20,2003,5,"Luxembourg","LU",84
21,2003,6,"Netherlands","NL",89
22,2003,7,"Denmark","DK",63
23,2003,8,"Ireland","IE",79
24,2003,9,"United Kingdom","UK",92
25,2003,10,"Greece","EL",120
26,2003,11,"Portugal","PT",130
27,2003,12,"Spain","ES",89
28,2003,13,"Austria","AT",103
29,2003,14,"Finland","FI",86
30,2003,15,"Sweden","SE",78
31,2004,1,"Belgium","BE",83
32,2004,2,"France","FR",88
33,2004,3,"Germany","DE",74
34,2004,4,"Italy","IT",115
35,2004,5,"Luxembourg","LU",73
36,2004,6,"Netherlands","NL",61
37,2004,7,"Denmark","DK",57
38,2004,8,"Ireland","IE",65
39,2004,9,"United Kingdom","UK",77
40,2004,10,"Greece","EL",101
41,2004,11,"Portugal","PT",87
42,2004,12,"Spain","ES",67
43,2004,13,"Austria","AT",54
44,2004,14,"Finland","FI",81
45,2004,15,"Sweden","SE",66
46,2004,16,"Cyprus","CY",73
47,2004,17,"Czech Republic","CZ",148
48,2004,18,"Estonia","EE",77
49,2004,19,"Hungary","HU",34
50,2004,20,"Latvia","LV",109
51,2004,21,"Lithuania","LT",16
52,2004,22,"Malta","MT",108
53,2004,23,"Poland","PL",56
54,2004,24,"Slovakia","SK",107
55,2004,25,"Slovenia","SI",56
56,2005,1,"Belgium","BE",62
57,2005,2,"France","FR",75
58,2005,3,"Germany","DE",51
59,2005,4,"Italy","IT",124
60,2005,5,"Luxembourg","LU",74
61,2005,6,"Netherlands","NL",56
62,2005,7,"Denmark","DK",35
63,2005,8,"Ireland","IE",55
64,2005,9,"United Kingdom","UK",55
65,2005,10,"Greece","EL",99
66,2005,11,"Portugal","PT",77
67,2005,12,"Spain","ES",63
68,2005,13,"Austria","AT",63
69,2005,14,"Finland","FI",55
70,2005,15,"Sweden","SE",47
71,2005,16,"Cyprus","CY",86
72,2005,17,"Czech Republic","CZ",75
73,2005,18,"Estonia","EE",60
74,2005,19,"Hungary","HU",58
75,2005,20,"Latvia","LV",59
76,2005,21,"Lithuania","LT",28
77,2005,22,"Malta","MT",60
78,2005,23,"Poland","PL",70
79,2005,24,"Slovakia","SK",54
80,2005,25,"Slovenia","SI",56
81,2006,1,"Belgium","BE",60
82,2006,2,"France","FR",79
83,2006,3,"Germany","DE",57
84,2006,4,"Italy","IT",119
85,2006,5,"Luxembourg","LU",62
86,2006,6,"Netherlands","NL",41
87,2006,7,"Denmark","DK",38
88,2006,8,"Ireland","IE",49
89,2006,9,"United Kingdom","UK",67
90,2006,10,"Greece","EL",94
