"key_ID","year","member_state_ID","member_state","member_state_code","case_type_ID","case_type","count_cases"
1,2002,1,"Belgium","BE",1,"noncommunication",34
2,2002,1,"Belgium","BE",2,"nonconformity",21
3,2002,2,"France","FR",1,"noncommunication",49
4,2002,2,"France","FR",2,"nonconformity",34
5,2002,3,"Germany","DE",1,"noncommunication",52
6,2002,3,"Germany","DE",2,"nonconformity",43
7,2002,4,"Italy","IT",1,"noncommunication",45
8,2002,4,"Italy","IT",2,"nonconformity",57
9,2002,5,"Luxembourg","LU",1,"noncommunication",36
10,2002,5,"Luxembourg","LU",2,"nonconformity",14
11,2002,6,"Netherlands","NL",1,"noncommunication",31
12,2002,6,"Netherlands","NL",2,"nonconformity",24
13,2002,7,"Denmark","DK",1,"noncommunication",30
14,2002,7,"Denmark","DK",2,"nonconformity",9
15,2002,8,"Ireland","IE",1,"noncommunication",47
16,2002,8,"Ireland","IE",2,"nonconformity",27
17,2002,9,"United Kingdom","UK",1,"noncommunication",38
18,2002,9,"United Kingdom","UK",2,"nonconformity",24
19,2002,10,"Greece","EL",1,"noncommunication",47
20,2002,10,"Greece","EL",2,"nonconformity",26
21,2002,11,"Portugal","PT",1,"noncommunication",54
22,2002,11,"Portugal","PT",2,"nonconformity",27
23,2002,12,"Spain","ES",1,"noncommunication",32
24,2002,12,"Spain","ES",2,"nonconformity",45
25,2002,13,"Austria","AT",1,"noncommunication",43
26,2002,13,"Austria","AT",2,"nonconformity",17
27,2002,14,"Finland","FI",1,"noncommunication",40
28,2002,14,"Finland","FI",2,"nonconformity",4
29,2002,15,"Sweden","SE",1,"noncommunication",35
30,2002,15,"Sweden","SE",2,"nonconformity",14
31,2003,1,"Belgium","BE",1,"noncommunication",79
32,2003,1,"Belgium","BE",2,"nonconformity",18
33,2003,2,"France","FR",1,"noncommunication",77
34,2003,2,"France","FR",2,"nonconformity",21
35,2003,3,"Germany","DE",1,"noncommunication",83
36,2003,3,"Germany","DE",2,"nonconformity",32
37,2003,4,"Italy","IT",1,"noncommunication",90
38,2003,4,"Italy","IT",2,"nonconformity",66
39,2003,5,"Luxembourg","LU",1,"noncommunication",68
40,2003,5,"Luxembourg","LU",2,"nonconformity",16
41,2003,6,"Netherlands","NL",1,"noncommunication",72
42,2003,6,"Netherlands","NL",2,"nonconformity",17
43,2003,7,"Denmark","DK",1,"noncommunication",47
44,2003,7,"Denmark","DK",2,"nonconformity",16
45,2003,8,"Ireland","IE",1,"noncommunication",70
46,2003,8,"Ireland","IE",2,"nonconformity",9
47,2003,9,"United Kingdom","UK",1,"noncommunication",77
48,2003,9,"United Kingdom","UK",2,"nonconformity",15
49,2003,10,"Greece","EL",1,"noncommunication",86
50,2003,10,"Greece","EL",2,"nonconformity",34
51,2003,11,"Portugal","PT",1,"noncommunication",100
52,2003,11,"Portugal","PT",2,"nonconformity",30
53,2003,12,"Spain","ES",1,"noncommunication",55
54,2003,12,"Spain","ES",2,"nonconformity",34
55,2003,13,"Austria","AT",1,"noncommunication",86
56,2003,13,"Austria","AT",2,"nonconformity",17
57,2003,14,"Finland","FI",1,"noncommunication",77
58,2003,14,"Finland","FI",2,"nonconformity",9
59,2003,15,"Sweden","SE",1,"noncommunication",66
60,2003,15,"Sweden","SE",2,"nonconformity",12
61,2004,1,"Belgium","BE",1,"noncommunication",58
62,2004,1,"Belgium","BE",2,"nonconformity",25
63,2004,2,"France","FR",1,"noncommunication",50
64,2004,2,"France","FR",2,"nonconformity",38
65,2004,3,"Germany","DE",1,"noncommunication",46
66,2004,3,"Germany","DE",2,"nonconformity",28
67,2004,4,"Italy","IT",1,"noncommunication",73
68,2004,4,"Italy","IT",2,"nonconformity",42
69,2004,5,"Luxembourg","LU",1,"noncommunication",62
70,2004,5,"Luxembourg","LU",2,"nonconformity",11
71,2004,6,"Netherlands","NL",1,"noncommunication",44
72,2004,6,"Netherlands","NL",2,"nonconformity",17
73,2004,7,"Denmark","DK",1,"noncommunication",48
74,2004,7,"Denmark","DK",2,"nonconformity",9
75,2004,8,"Ireland","IE",1,"noncommunication",51
76,2004,8,"Ireland","IE",2,"nonconformity",14
77,2004,9,"United Kingdom","UK",1,"noncommunication",50
78,2004,9,"United Kingdom","UK",2,"nonconformity",27
79,2004,10,"Greece","EL",1,"noncommunication",70
80,2004,10,"Greece","EL",2,"nonconformity",31
81,2004,11,"Portugal","PT",1,"noncommunication",70
82,2004,11,"Portugal","PT",2,"nonconformity",17
83,2004,12,"Spain","ES",1,"noncommunication",31
84,2004,12,"Spain","ES",2,"nonconformity",36
85,2004,13,"Austria","AT",1,"noncommunication",36
86,2004,13,"Austria","AT",2,"nonconformity",18
87,2004,14,"Finland","FI",1,"noncommunication",64
88,2004,14,"Finland","FI",2,"nonconformity",17
89,2004,15,"Sweden","SE",1,"noncommunication",52
90,2004,15,"Sweden","SE",2,"nonconformity",14
91,2004,16,"Cyprus","CY",1,"noncommunication",70
92,2004,16,"Cyprus","CY",2,"nonconformity",3
93,2004,17,"Czech Republic","CZ",1,"noncommunication",145
94,2004,17,"Czech Republic","CZ",2,"nonconformity",3
95,2004,18,"Estonia","EE",1,"noncommunication",74
96,2004,18,"Estonia","EE",2,"nonconformity",3
97,2004,19,"Hungary","HU",1,"noncommunication",32
98,2004,19,"Hungary","HU",2,"nonconformity",2
99,2004,20,"Latvia","LV",1,"noncommunication",107
100,2004,20,"Latvia","LV",2,"nonconformity",2
101,2004,21,"Lithuania","LT",1,"noncommunication",14
102,2004,21,"Lithuania","LT",2,"nonconformity",2
103,2004,22,"Malta","MT",1,"noncommunication",103
104,2004,22,"Malta","MT",2,"nonconformity",5
105,2004,23,"Poland","PL",1,"noncommunication",47
106,2004,23,"Poland","PL",2,"nonconformity",9
107,2004,24,"Slovakia","SK",1,"noncommunication",107
108,2004,24,"Slovakia","SK",2,"nonconformity",0
