"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","case_type_ID","case_type","count_LFN258","count_RO258","count_RF258","count_LFN260","count_RO260","count_RF260"
1,2002,1,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",1,"noncommunication",0,0,0,0,0,0
2,2002,1,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",2,"nonconformity",0,0,0,0,0,0
3,2002,1,"Agriculture and Rural Development","AGRI",2,"France","FR",1,"noncommunication",0,0,0,0,0,0
4,2002,1,"Agriculture and Rural Development","AGRI",2,"France","FR",2,"nonconformity",1,0,0,0,0,0
5,2002,1,"Agriculture and Rural Development","AGRI",3,"Germany","DE",1,"noncommunication",0,0,0,0,0,0
6,2002,1,"Agriculture and Rural Development","AGRI",3,"Germany","DE",2,"nonconformity",0,0,0,0,0,0
7,2002,1,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"noncommunication",0,0,0,0,0,0
8,2002,1,"Agriculture and Rural Development","AGRI",4,"Italy","IT",2,"nonconformity",0,0,0,0,0,0
9,2002,1,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",1,"noncommunication",0,0,0,0,0,0
10,2002,1,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",2,"nonconformity",0,0,0,0,0,0
11,2002,1,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",1,"noncommunication",0,0,0,0,0,0
12,2002,1,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",2,"nonconformity",0,0,0,0,0,0
13,2002,1,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",1,"noncommunication",0,0,0,0,0,0
14,2002,1,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",2,"nonconformity",0,0,0,0,0,0
15,2002,1,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",1,"noncommunication",0,0,0,0,0,0
16,2002,1,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",2,"nonconformity",0,0,0,0,0,0
17,2002,1,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",1,"noncommunication",0,0,0,0,0,0
18,2002,1,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",2,"nonconformity",0,0,0,0,0,0
19,2002,1,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1,"noncommunication",0,0,0,0,0,0
20,2002,1,"Agriculture and Rural Development","AGRI",10,"Greece","EL",2,"nonconformity",0,0,0,0,0,0
21,2002,1,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",1,"noncommunication",0,0,0,0,0,0
22,2002,1,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",2,"nonconformity",1,1,0,0,0,0
23,2002,1,"Agriculture and Rural Development","AGRI",12,"Spain","ES",1,"noncommunication",0,0,0,0,0,0
24,2002,1,"Agriculture and Rural Development","AGRI",12,"Spain","ES",2,"nonconformity",0,0,0,0,0,0
25,2002,1,"Agriculture and Rural Development","AGRI",13,"Austria","AT",1,"noncommunication",0,0,0,0,0,0
26,2002,1,"Agriculture and Rural Development","AGRI",13,"Austria","AT",2,"nonconformity",1,0,0,0,0,0
27,2002,1,"Agriculture and Rural Development","AGRI",14,"Finland","FI",1,"noncommunication",0,0,0,0,0,0
28,2002,1,"Agriculture and Rural Development","AGRI",14,"Finland","FI",2,"nonconformity",0,0,0,0,0,0
29,2002,1,"Agriculture and Rural Development","AGRI",15,"Sweden","SE",1,"noncommunication",0,0,0,0,0,0
30,2002,1,"Agriculture and Rural Development","AGRI",15,"Sweden","SE",2,"nonconformity",0,0,0,0,0,0
31,2002,2,"Budget","BUDG",1,"Belgium","BE",1,"noncommunication",0,0,0,0,0,0
32,2002,2,"Budget","BUDG",1,"Belgium","BE",2,"nonconformity",1,0,0,0,0,0
33,2002,2,"Budget","BUDG",2,"France","FR",1,"noncommunication",0,0,0,0,0,0
34,2002,2,"Budget","BUDG",2,"France","FR",2,"nonconformity",0,0,0,0,0,0
35,2002,2,"Budget","BUDG",3,"Germany","DE",1,"noncommunication",0,0,0,0,0,0
36,2002,2,"Budget","BUDG",3,"Germany","DE",2,"nonconformity",0,0,0,0,0,0
37,2002,2,"Budget","BUDG",4,"Italy","IT",1,"noncommunication",0,0,0,0,0,0
38,2002,2,"Budget","BUDG",4,"Italy","IT",2,"nonconformity",0,0,0,0,0,0
39,2002,2,"Budget","BUDG",5,"Luxembourg","LU",1,"noncommunication",0,0,0,0,0,0
40,2002,2,"Budget","BUDG",5,"Luxembourg","LU",2,"nonconformity",0,0,0,0,0,0
41,2002,2,"Budget","BUDG",6,"Netherlands","NL",1,"noncommunication",0,0,0,0,0,0
42,2002,2,"Budget","BUDG",6,"Netherlands","NL",2,"nonconformity",2,1,0,0,0,0
43,2002,2,"Budget","BUDG",7,"Denmark","DK",1,"noncommunication",0,0,0,0,0,0
44,2002,2,"Budget","BUDG",7,"Denmark","DK",2,"nonconformity",2,1,0,0,0,0
45,2002,2,"Budget","BUDG",8,"Ireland","IE",1,"noncommunication",0,0,0,0,0,0
46,2002,2,"Budget","BUDG",8,"Ireland","IE",2,"nonconformity",0,0,0,0,0,0
47,2002,2,"Budget","BUDG",9,"United Kingdom","UK",1,"noncommunication",0,0,0,0,0,0
48,2002,2,"Budget","BUDG",9,"United Kingdom","UK",2,"nonconformity",0,0,0,0,0,0
49,2002,2,"Budget","BUDG",10,"Greece","EL",1,"noncommunication",0,0,0,0,0,0
50,2002,2,"Budget","BUDG",10,"Greece","EL",2,"nonconformity",0,0,0,0,0,0
51,2002,2,"Budget","BUDG",11,"Portugal","PT",1,"noncommunication",0,0,0,0,0,0
52,2002,2,"Budget","BUDG",11,"Portugal","PT",2,"nonconformity",1,0,0,0,0,0
53,2002,2,"Budget","BUDG",12,"Spain","ES",1,"noncommunication",0,0,0,0,0,0
54,2002,2,"Budget","BUDG",12,"Spain","ES",2,"nonconformity",1,0,0,0,0,0
55,2002,2,"Budget","BUDG",13,"Austria","AT",1,"noncommunication",0,0,0,0,0,0
56,2002,2,"Budget","BUDG",13,"Austria","AT",2,"nonconformity",1,0,0,0,0,0
57,2002,2,"Budget","BUDG",14,"Finland","FI",1,"noncommunication",0,0,0,0,0,0
58,2002,2,"Budget","BUDG",14,"Finland","FI",2,"nonconformity",0,0,0,0,0,0
59,2002,2,"Budget","BUDG",15,"Sweden","SE",1,"noncommunication",0,0,0,0,0,0
60,2002,2,"Budget","BUDG",15,"Sweden","SE",2,"nonconformity",0,0,0,0,0,0
61,2002,3,"Climate Action","CLIMA",1,"Belgium","BE",1,"noncommunication",0,0,0,0,0,0
62,2002,3,"Climate Action","CLIMA",1,"Belgium","BE",2,"nonconformity",0,0,0,0,0,0
63,2002,3,"Climate Action","CLIMA",2,"France","FR",1,"noncommunication",0,0,0,0,0,0
64,2002,3,"Climate Action","CLIMA",2,"France","FR",2,"nonconformity",0,0,0,0,0,0
65,2002,3,"Climate Action","CLIMA",3,"Germany","DE",1,"noncommunication",0,0,0,0,0,0
66,2002,3,"Climate Action","CLIMA",3,"Germany","DE",2,"nonconformity",0,0,0,0,0,0
67,2002,3,"Climate Action","CLIMA",4,"Italy","IT",1,"noncommunication",0,0,0,0,0,0
68,2002,3,"Climate Action","CLIMA",4,"Italy","IT",2,"nonconformity",0,0,0,0,0,0
69,2002,3,"Climate Action","CLIMA",5,"Luxembourg","LU",1,"noncommunication",0,0,0,0,0,0
70,2002,3,"Climate Action","CLIMA",5,"Luxembourg","LU",2,"nonconformity",0,0,0,0,0,0
71,2002,3,"Climate Action","CLIMA",6,"Netherlands","NL",1,"noncommunication",0,0,0,0,0,0
72,2002,3,"Climate Action","CLIMA",6,"Netherlands","NL",2,"nonconformity",0,0,0,0,0,0
73,2002,3,"Climate Action","CLIMA",7,"Denmark","DK",1,"noncommunication",0,0,0,0,0,0
74,2002,3,"Climate Action","CLIMA",7,"Denmark","DK",2,"nonconformity",0,0,0,0,0,0
75,2002,3,"Climate Action","CLIMA",8,"Ireland","IE",1,"noncommunication",0,0,0,0,0,0
76,2002,3,"Climate Action","CLIMA",8,"Ireland","IE",2,"nonconformity",0,0,0,0,0,0
77,2002,3,"Climate Action","CLIMA",9,"United Kingdom","UK",1,"noncommunication",0,0,0,0,0,0
78,2002,3,"Climate Action","CLIMA",9,"United Kingdom","UK",2,"nonconformity",0,0,0,0,0,0
79,2002,3,"Climate Action","CLIMA",10,"Greece","EL",1,"noncommunication",0,0,0,0,0,0
80,2002,3,"Climate Action","CLIMA",10,"Greece","EL",2,"nonconformity",0,0,0,0,0,0
81,2002,3,"Climate Action","CLIMA",11,"Portugal","PT",1,"noncommunication",0,0,0,0,0,0
82,2002,3,"Climate Action","CLIMA",11,"Portugal","PT",2,"nonconformity",0,0,0,0,0,0
83,2002,3,"Climate Action","CLIMA",12,"Spain","ES",1,"noncommunication",0,0,0,0,0,0
84,2002,3,"Climate Action","CLIMA",12,"Spain","ES",2,"nonconformity",0,0,0,0,0,0
85,2002,3,"Climate Action","CLIMA",13,"Austria","AT",1,"noncommunication",0,0,0,0,0,0
86,2002,3,"Climate Action","CLIMA",13,"Austria","AT",2,"nonconformity",0,0,0,0,0,0
87,2002,3,"Climate Action","CLIMA",14,"Finland","FI",1,"noncommunication",0,0,0,0,0,0
88,2002,3,"Climate Action","CLIMA",14,"Finland","FI",2,"nonconformity",0,0,0,0,0,0
89,2002,3,"Climate Action","CLIMA",15,"Sweden","SE",1,"noncommunication",0,0,0,0,0,0
90,2002,3,"Climate Action","CLIMA",15,"Sweden","SE",2,"nonconformity",0,0,0,0,0,0
91,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"Belgium","BE",1,"noncommunication",0,0,0,0,0,0
92,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"Belgium","BE",2,"nonconformity",1,0,0,0,0,0
93,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"France","FR",1,"noncommunication",0,0,0,0,0,0
94,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"France","FR",2,"nonconformity",3,2,0,0,0,0
95,2002,4,"Communication Networks, Content and Technology","CONNECT",3,"Germany","DE",1,"noncommunication",0,0,0,0,0,0
96,2002,4,"Communication Networks, Content and Technology","CONNECT",3,"Germany","DE",2,"nonconformity",4,0,0,0,0,0
97,2002,4,"Communication Networks, Content and Technology","CONNECT",4,"Italy","IT",1,"noncommunication",0,0,0,0,0,0
98,2002,4,"Communication Networks, Content and Technology","CONNECT",4,"Italy","IT",2,"nonconformity",2,1,0,0,0,0
99,2002,4,"Communication Networks, Content and Technology","CONNECT",5,"Luxembourg","LU",1,"noncommunication",0,0,0,0,0,0
100,2002,4,"Communication Networks, Content and Technology","CONNECT",5,"Luxembourg","LU",2,"nonconformity",2,0,0,0,0,0
101,2002,4,"Communication Networks, Content and Technology","CONNECT",6,"Netherlands","NL",1,"noncommunication",0,0,0,0,0,0
102,2002,4,"Communication Networks, Content and Technology","CONNECT",6,"Netherlands","NL",2,"nonconformity",1,0,0,0,0,0
103,2002,4,"Communication Networks, Content and Technology","CONNECT",7,"Denmark","DK",1,"noncommunication",0,0,0,0,0,0
104,2002,4,"Communication Networks, Content and Technology","CONNECT",7,"Denmark","DK",2,"nonconformity",0,0,0,0,0,0
105,2002,4,"Communication Networks, Content and Technology","CONNECT",8,"Ireland","IE",1,"noncommunication",0,0,0,0,0,0
106,2002,4,"Communication Networks, Content and Technology","CONNECT",8,"Ireland","IE",2,"nonconformity",1,0,0,0,0,0
107,2002,4,"Communication Networks, Content and Technology","CONNECT",9,"United Kingdom","UK",1,"noncommunication",0,0,0,0,0,0
108,2002,4,"Communication Networks, Content and Technology","CONNECT",9,"United Kingdom","UK",2,"nonconformity",0,0,0,0,0,0
109,2002,4,"Communication Networks, Content and Technology","CONNECT",10,"Greece","EL",1,"noncommunication",0,0,0,0,0,0
110,2002,4,"Communication Networks, Content and Technology","CONNECT",10,"Greece","EL",2,"nonconformity",2,1,0,0,0,0
111,2002,4,"Communication Networks, Content and Technology","CONNECT",11,"Portugal","PT",1,"noncommunication",0,0,0,0,0,0
112,2002,4,"Communication Networks, Content and Technology","CONNECT",11,"Portugal","PT",2,"nonconformity",2,1,0,0,0,0
113,2002,4,"Communication Networks, Content and Technology","CONNECT",12,"Spain","ES",1,"noncommunication",0,0,0,0,0,0
114,2002,4,"Communication Networks, Content and Technology","CONNECT",12,"Spain","ES",2,"nonconformity",1,0,0,0,0,0
115,2002,4,"Communication Networks, Content and Technology","CONNECT",13,"Austria","AT",1,"noncommunication",0,0,0,0,0,0
116,2002,4,"Communication Networks, Content and Technology","CONNECT",13,"Austria","AT",2,"nonconformity",1,2,2,0,0,0
117,2002,4,"Communication Networks, Content and Technology","CONNECT",14,"Finland","FI",1,"noncommunication",0,0,0,0,0,0
118,2002,4,"Communication Networks, Content and Technology","CONNECT",14,"Finland","FI",2,"nonconformity",0,0,0,0,0,0
119,2002,4,"Communication Networks, Content and Technology","CONNECT",15,"Sweden","SE",1,"noncommunication",0,0,0,0,0,0
120,2002,4,"Communication Networks, Content and Technology","CONNECT",15,"Sweden","SE",2,"nonconformity",0,0,0,0,0,0
121,2002,5,"Competition","COMP",1,"Belgium","BE",1,"noncommunication",0,0,0,0,0,0
122,2002,5,"Competition","COMP",1,"Belgium","BE",2,"nonconformity",1,0,0,1,1,0
123,2002,5,"Competition","COMP",2,"France","FR",1,"noncommunication",0,0,0,0,0,0
124,2002,5,"Competition","COMP",2,"France","FR",2,"nonconformity",1,0,0,0,0,0
125,2002,5,"Competition","COMP",3,"Germany","DE",1,"noncommunication",0,0,0,0,0,0
126,2002,5,"Competition","COMP",3,"Germany","DE",2,"nonconformity",0,0,0,0,0,0
127,2002,5,"Competition","COMP",4,"Italy","IT",1,"noncommunication",0,0,0,0,0,0
128,2002,5,"Competition","COMP",4,"Italy","IT",2,"nonconformity",0,0,0,0,0,0
129,2002,5,"Competition","COMP",5,"Luxembourg","LU",1,"noncommunication",0,0,0,0,0,0
130,2002,5,"Competition","COMP",5,"Luxembourg","LU",2,"nonconformity",0,0,0,0,0,0
131,2002,5,"Competition","COMP",6,"Netherlands","NL",1,"noncommunication",0,0,0,0,0,0
132,2002,5,"Competition","COMP",6,"Netherlands","NL",2,"nonconformity",0,0,0,0,0,0
133,2002,5,"Competition","COMP",7,"Denmark","DK",1,"noncommunication",0,0,0,0,0,0
134,2002,5,"Competition","COMP",7,"Denmark","DK",2,"nonconformity",0,0,0,0,0,0
135,2002,5,"Competition","COMP",8,"Ireland","IE",1,"noncommunication",0,0,0,0,0,0
136,2002,5,"Competition","COMP",8,"Ireland","IE",2,"nonconformity",0,0,0,0,0,0
137,2002,5,"Competition","COMP",9,"United Kingdom","UK",1,"noncommunication",0,0,0,0,0,0
138,2002,5,"Competition","COMP",9,"United Kingdom","UK",2,"nonconformity",0,0,0,0,0,0
139,2002,5,"Competition","COMP",10,"Greece","EL",1,"noncommunication",0,0,0,0,0,0
140,2002,5,"Competition","COMP",10,"Greece","EL",2,"nonconformity",0,0,0,0,0,0
141,2002,5,"Competition","COMP",11,"Portugal","PT",1,"noncommunication",0,0,0,0,0,0
142,2002,5,"Competition","COMP",11,"Portugal","PT",2,"nonconformity",1,1,0,0,0,0
143,2002,5,"Competition","COMP",12,"Spain","ES",1,"noncommunication",0,0,0,0,0,0
144,2002,5,"Competition","COMP",12,"Spain","ES",2,"nonconformity",0,0,0,0,0,0
145,2002,5,"Competition","COMP",13,"Austria","AT",1,"noncommunication",0,0,0,0,0,0
146,2002,5,"Competition","COMP",13,"Austria","AT",2,"nonconformity",0,0,0,0,0,0
147,2002,5,"Competition","COMP",14,"Finland","FI",1,"noncommunication",0,0,0,0,0,0
148,2002,5,"Competition","COMP",14,"Finland","FI",2,"nonconformity",1,0,0,0,0,0
149,2002,5,"Competition","COMP",15,"Sweden","SE",1,"noncommunication",0,1,1,0,0,0
150,2002,5,"Competition","COMP",15,"Sweden","SE",2,"nonconformity",0,0,0,0,0,0
151,2002,6,"Defence Industry and Space","DEFIS",1,"Belgium","BE",1,"noncommunication",0,0,0,0,0,0
152,2002,6,"Defence Industry and Space","DEFIS",1,"Belgium","BE",2,"nonconformity",0,0,0,0,0,0
153,2002,6,"Defence Industry and Space","DEFIS",2,"France","FR",1,"noncommunication",0,0,0,0,0,0
154,2002,6,"Defence Industry and Space","DEFIS",2,"France","FR",2,"nonconformity",0,0,0,0,0,0
155,2002,6,"Defence Industry and Space","DEFIS",3,"Germany","DE",1,"noncommunication",0,0,0,0,0,0
156,2002,6,"Defence Industry and Space","DEFIS",3,"Germany","DE",2,"nonconformity",0,0,0,0,0,0
157,2002,6,"Defence Industry and Space","DEFIS",4,"Italy","IT",1,"noncommunication",0,0,0,0,0,0
158,2002,6,"Defence Industry and Space","DEFIS",4,"Italy","IT",2,"nonconformity",0,0,0,0,0,0
159,2002,6,"Defence Industry and Space","DEFIS",5,"Luxembourg","LU",1,"noncommunication",0,0,0,0,0,0
160,2002,6,"Defence Industry and Space","DEFIS",5,"Luxembourg","LU",2,"nonconformity",0,0,0,0,0,0
161,2002,6,"Defence Industry and Space","DEFIS",6,"Netherlands","NL",1,"noncommunication",0,0,0,0,0,0
162,2002,6,"Defence Industry and Space","DEFIS",6,"Netherlands","NL",2,"nonconformity",0,0,0,0,0,0
163,2002,6,"Defence Industry and Space","DEFIS",7,"Denmark","DK",1,"noncommunication",0,0,0,0,0,0
164,2002,6,"Defence Industry and Space","DEFIS",7,"Denmark","DK",2,"nonconformity",0,0,0,0,0,0
165,2002,6,"Defence Industry and Space","DEFIS",8,"Ireland","IE",1,"noncommunication",0,0,0,0,0,0
166,2002,6,"Defence Industry and Space","DEFIS",8,"Ireland","IE",2,"nonconformity",0,0,0,0,0,0
167,2002,6,"Defence Industry and Space","DEFIS",9,"United Kingdom","UK",1,"noncommunication",0,0,0,0,0,0
168,2002,6,"Defence Industry and Space","DEFIS",9,"United Kingdom","UK",2,"nonconformity",0,0,0,0,0,0
169,2002,6,"Defence Industry and Space","DEFIS",10,"Greece","EL",1,"noncommunication",0,0,0,0,0,0
170,2002,6,"Defence Industry and Space","DEFIS",10,"Greece","EL",2,"nonconformity",0,0,0,0,0,0
171,2002,6,"Defence Industry and Space","DEFIS",11,"Portugal","PT",1,"noncommunication",0,0,0,0,0,0
172,2002,6,"Defence Industry and Space","DEFIS",11,"Portugal","PT",2,"nonconformity",0,0,0,0,0,0
173,2002,6,"Defence Industry and Space","DEFIS",12,"Spain","ES",1,"noncommunication",0,0,0,0,0,0
174,2002,6,"Defence Industry and Space","DEFIS",12,"Spain","ES",2,"nonconformity",0,0,0,0,0,0
175,2002,6,"Defence Industry and Space","DEFIS",13,"Austria","AT",1,"noncommunication",0,0,0,0,0,0
176,2002,6,"Defence Industry and Space","DEFIS",13,"Austria","AT",2,"nonconformity",0,0,0,0,0,0
177,2002,6,"Defence Industry and Space","DEFIS",14,"Finland","FI",1,"noncommunication",0,0,0,0,0,0
178,2002,6,"Defence Industry and Space","DEFIS",14,"Finland","FI",2,"nonconformity",0,0,0,0,0,0
179,2002,6,"Defence Industry and Space","DEFIS",15,"Sweden","SE",1,"noncommunication",0,0,0,0,0,0
180,2002,6,"Defence Industry and Space","DEFIS",15,"Sweden","SE",2,"nonconformity",0,0,0,0,0,0
181,2002,7,"Economic and Financial Affairs","ECFIN",1,"Belgium","BE",1,"noncommunication",0,0,0,0,0,0
182,2002,7,"Economic and Financial Affairs","ECFIN",1,"Belgium","BE",2,"nonconformity",0,0,0,0,0,0
183,2002,7,"Economic and Financial Affairs","ECFIN",2,"France","FR",1,"noncommunication",0,0,0,0,0,0
184,2002,7,"Economic and Financial Affairs","ECFIN",2,"France","FR",2,"nonconformity",0,0,0,0,0,0
185,2002,7,"Economic and Financial Affairs","ECFIN",3,"Germany","DE",1,"noncommunication",0,0,0,0,0,0
186,2002,7,"Economic and Financial Affairs","ECFIN",3,"Germany","DE",2,"nonconformity",0,0,0,0,0,0
187,2002,7,"Economic and Financial Affairs","ECFIN",4,"Italy","IT",1,"noncommunication",0,0,0,0,0,0
188,2002,7,"Economic and Financial Affairs","ECFIN",4,"Italy","IT",2,"nonconformity",0,0,0,0,0,0
189,2002,7,"Economic and Financial Affairs","ECFIN",5,"Luxembourg","LU",1,"noncommunication",0,0,0,0,0,0
190,2002,7,"Economic and Financial Affairs","ECFIN",5,"Luxembourg","LU",2,"nonconformity",0,0,0,0,0,0
191,2002,7,"Economic and Financial Affairs","ECFIN",6,"Netherlands","NL",1,"noncommunication",0,0,0,0,0,0
192,2002,7,"Economic and Financial Affairs","ECFIN",6,"Netherlands","NL",2,"nonconformity",0,0,0,0,0,0
193,2002,7,"Economic and Financial Affairs","ECFIN",7,"Denmark","DK",1,"noncommunication",0,0,0,0,0,0
194,2002,7,"Economic and Financial Affairs","ECFIN",7,"Denmark","DK",2,"nonconformity",0,0,0,0,0,0
