"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","count_LFN258","count_RO258","count_RF258","count_LFN260","count_RO260","count_RF260"
1,2002,1,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",0,0,0,0,0,0
2,2002,1,"Agriculture and Rural Development","AGRI",2,"France","FR",1,0,0,0,0,0
3,2002,1,"Agriculture and Rural Development","AGRI",3,"Germany","DE",0,0,0,0,0,0
4,2002,1,"Agriculture and Rural Development","AGRI",4,"Italy","IT",0,0,0,0,0,0
5,2002,1,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",0,0,0,0,0,0
6,2002,1,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",0,0,0,0,0,0
7,2002,1,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",0,0,0,0,0,0
8,2002,1,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",0,0,0,0,0,0
9,2002,1,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",0,0,0,0,0,0
10,2002,1,"Agriculture and Rural Development","AGRI",10,"Greece","EL",0,0,0,0,0,0
11,2002,1,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",1,1,0,0,0,0
12,2002,1,"Agriculture and Rural Development","AGRI",12,"Spain","ES",0,0,0,0,0,0
13,2002,1,"Agriculture and Rural Development","AGRI",13,"Austria","AT",1,0,0,0,0,0
14,2002,1,"Agriculture and Rural Development","AGRI",14,"Finland","FI",0,0,0,0,0,0
15,2002,1,"Agriculture and Rural Development","AGRI",15,"Sweden","SE",0,0,0,0,0,0
16,2002,2,"Budget","BUDG",1,"Belgium","BE",1,0,0,0,0,0
17,2002,2,"Budget","BUDG",2,"France","FR",0,0,0,0,0,0
18,2002,2,"Budget","BUDG",3,"Germany","DE",0,0,0,0,0,0
19,2002,2,"Budget","BUDG",4,"Italy","IT",0,0,0,0,0,0
20,2002,2,"Budget","BUDG",5,"Luxembourg","LU",0,0,0,0,0,0
21,2002,2,"Budget","BUDG",6,"Netherlands","NL",2,1,0,0,0,0
22,2002,2,"Budget","BUDG",7,"Denmark","DK",2,1,0,0,0,0
23,2002,2,"Budget","BUDG",8,"Ireland","IE",0,0,0,0,0,0
24,2002,2,"Budget","BUDG",9,"United Kingdom","UK",0,0,0,0,0,0
25,2002,2,"Budget","BUDG",10,"Greece","EL",0,0,0,0,0,0
26,2002,2,"Budget","BUDG",11,"Portugal","PT",1,0,0,0,0,0
27,2002,2,"Budget","BUDG",12,"Spain","ES",1,0,0,0,0,0
28,2002,2,"Budget","BUDG",13,"Austria","AT",1,0,0,0,0,0
29,2002,2,"Budget","BUDG",14,"Finland","FI",0,0,0,0,0,0
30,2002,2,"Budget","BUDG",15,"Sweden","SE",0,0,0,0,0,0
31,2002,3,"Climate Action","CLIMA",1,"Belgium","BE",0,0,0,0,0,0
32,2002,3,"Climate Action","CLIMA",2,"France","FR",0,0,0,0,0,0
33,2002,3,"Climate Action","CLIMA",3,"Germany","DE",0,0,0,0,0,0
34,2002,3,"Climate Action","CLIMA",4,"Italy","IT",0,0,0,0,0,0
35,2002,3,"Climate Action","CLIMA",5,"Luxembourg","LU",0,0,0,0,0,0
36,2002,3,"Climate Action","CLIMA",6,"Netherlands","NL",0,0,0,0,0,0
37,2002,3,"Climate Action","CLIMA",7,"Denmark","DK",0,0,0,0,0,0
38,2002,3,"Climate Action","CLIMA",8,"Ireland","IE",0,0,0,0,0,0
