"key_ID","year","member_state_ID","member_state","member_state_code","count_LFN258","count_RO258","count_RF258","count_LFN260","count_RO260","count_RF260"
1,2002,1,"Belgium","BE",58,18,4,2,1,0
2,2002,2,"France","FR",81,27,4,5,3,1
3,2002,3,"Germany","DE",91,19,7,2,0,0
4,2002,4,"Italy","IT",98,31,7,9,1,0
5,2002,5,"Luxembourg","LU",47,16,2,5,0,0
6,2002,6,"Netherlands","NL",55,5,1,2,0,0
7,2002,7,"Denmark","DK",40,3,0,0,0,0
8,2002,8,"Ireland","IE",73,19,1,2,1,0
9,2002,9,"United Kingdom","UK",52,12,3,2,1,0
10,2002,10,"Greece","EL",75,28,4,6,2,0
11,2002,11,"Portugal","PT",75,22,4,1,0,0
12,2002,12,"Spain","ES",85,22,10,1,0,0
13,2002,13,"Austria","AT",66,41,23,1,0,0
14,2002,14,"Finland","FI",54,8,1,1,0,0
15,2002,15,"Sweden","SE",51,3,1,1,0,0
16,2003,1,"Belgium","BE",104,36,10,5,3,1
17,2003,2,"France","FR",120,43,21,9,2,1
18,2003,3,"Germany","DE",116,29,9,4,0,0
19,2003,4,"Italy","IT",156,67,30,7,3,0
20,2003,5,"Luxembourg","LU",86,36,15,3,3,0
21,2003,6,"Netherlands","NL",94,33,13,2,1,0
22,2003,7,"Denmark","DK",55,2,1,0,0,0
23,2003,8,"Ireland","IE",100,34,21,3,1,1
24,2003,9,"United Kingdom","UK",111,23,10,1,0,0
25,2003,10,"Greece","EL",116,50,23,1,0,0
26,2003,11,"Portugal","PT",131,42,17,1,0,0
27,2003,12,"Spain","ES",107,24,14,3,0,0
28,2003,13,"Austria","AT",97,38,25,0,0,0
29,2003,14,"Finland","FI",84,15,6,0,0,0
30,2003,15,"Sweden","SE",73,14,5,0,0,0
31,2004,1,"Belgium","BE",79,29,22,2,0,0
32,2004,2,"France","FR",88,44,24,10,2,0
33,2004,3,"Germany","DE",95,35,21,2,2,2
34,2004,4,"Italy","IT",133,76,43,5,3,2
35,2004,5,"Luxembourg","LU",76,36,28,3,5,1
36,2004,6,"Netherlands","NL",56,27,14,0,1,0
37,2004,7,"Denmark","DK",60,12,1,2,0,0
38,2004,8,"Ireland","IE",71,21,8,4,0,0
39,2004,9,"United Kingdom","UK",69,19,10,3,0,0
40,2004,10,"Greece","EL",114,48,31,1,0,0
41,2004,11,"Portugal","PT",93,34,11,1,1,0
42,2004,12,"Spain","ES",76,16,9,5,0,0
43,2004,13,"Austria","AT",63,23,17,2,0,0
44,2004,14,"Finland","FI",83,20,15,1,0,0
